crop,production,area,yield_val,year
Jute,218.3,106.4,205.2,2007-08
Jute,205.8,102.6,200.5,2008-09
Jute,239.8,106.0,226.3,2009-10
Jute,213.8,101.1,211.5,2010-11
Jute & Mesta,200.7,95.7,209.7,2006-07
Jute & Mesta,199.6,98.3,203.0,2007-08
Jute & Mesta,184.5,92.2,200.1,2008-09
Jute & Mesta,210.4,92.7,227.0,2009-10
Jute & Mesta,189.1,89.3,211.8,2010-11
Linseed,55.9,47.9,116.8,2006-07
Linseed,54.4,51.3,106.1,2007-08
Linseed,56.4,44.8,126.0,2008-09
Linseed,51.2,37.5,136.5,2009-10
Linseed,48.8,39.4,123.9,2010-11
Maize,198.8,156.1,127.3,2006-07
Maize,249.6,160.5,155.5,2007-08
Maize,259.8,161.6,160.7,2008-09
Maize,220.1,163.4,134.7,2009-10
Maize,286.0,169.1,169.1,2010-11
Mesta,81.7,67.2,121.6,2006-07
Mesta,84.6,69.1,122.5,2007-08
Mesta,62.4,54.5,114.6,2008-09
Mesta,50.1,44.5,112.7,2009-10
Mesta,52.2,46.6,112.0,2010-11
Niger seed,65.1,75.7,86.0,2006-07
Niger seed,59.0,65.8,89.6,2007-08
Niger seed,63.0,63.5,99.2,2008-09
Niger seed,53.8,60.6,88.8,2009-10
Niger seed,58.0,59.9,96.9,2010-11
Nine Oilseeds,147.1,126.1,116.7,2006-07
Nine Oilseeds,180.2,126.9,142.0,2007-08
Nine Oilseeds,167.9,131.0,128.1,2008-09
Nine Oilseeds,150.7,123.4,122.1,2009-10
Nine Oilseeds,196.7,129.4,152.0,2010-11
Onion,240.5,207.7,115.8,2006-07
Onion,247.3,208.4,118.7,2007-08
Onion,367.1,246.8,148.8,2008-09
Onion,329.1,223.6,147.1,2009-10
Onion,409.1,314.7,130.0,2010-11
Other Pulses,139.1,131.3,105.9,2006-07
Other Pulses,148.9,133.8,111.3,2007-08
Other Pulses,131.4,117.1,112.2,2008-09
Other Pulses,118.4,126.1,93.9,2009-10
Other Pulses,179.5,139.1,129.0,2010-11
Potato,135.7,142.2,95.5,2006-07
Potato,174.2,148.8,117.1,2007-08
Potato,210.5,175.1,120.2,2008-09
Potato,223.8,175.8,127.4,2009-10
Potato,259.1,178.4,145.2,2010-11
Ragi,56.1,60.2,93.2,2006-07
Ragi,83.6,70.9,117.9,2007-08
Ragi,79.3,70.6,112.2,2008-09
Ragi,73.4,64.8,113.2,2009-10
Ragi,85.2,65.8,129.6,2010-11
Rapeseed &Mustard,138.7,107.0,129.6,2006-07
